Lung_weight,Lung_weight_x_100,Mouse_ID,Day.x,Eotaxin (74),G-CSF (54),GM-CSF (73),IFNg (34),IL-10 (56),IL-12p40 (76),IL-12p70 (78),IL-13 (37),IL-17A (72),IL-1a (53),IL-1b (19),IL-2 (36),IL-3 (18),IL-4 (39),IL-5 (52),IL-6 (38),IL-9 (33),KC (57),MCP-1 (51),MIP-1B (75),MIP-1a (77),RANTES (55),TNFa (21),Day.y,BAL Cell counts,Hysteresis,BAL protein,Viral Burden,Days,Day 3,Day 4,Day 5,Day 7,Day 8
44.3,0.0443,22,3,2602.934537,511.2866817,0,741.5349887,362.7539503,3769.751693,1511.738149,1309.706546,41.08352144,420.0902935,81.03837472,915.3498871,24.15349887,54.85327314,76.74943567,438.8261851,1554.401806,1333.634312,20574.4921,8001.580135,1876.523702,12679.00677,886.2302483,Day 3,60000,1.448183543,216.6666667,2530147.181,Day 3,112.7906977,0,0,0,0
29.8,0.0298,23,3,4365.436242,167.4496644,0,252.6845638,0,984.5637584,1856.375839,462.7516779,57.71812081,253.0201342,24.83221477,312.0805369,20.13422819,19.79865772,53.69127517,459.0604027,0,1343.288591,12315.77181,3091.610738,532.885906,10942.95302,366.1073826,Day 3,100000,0.809156488,319.1666667,359561736.3,Day 3,112.5,0,0,0,0
25.2,0.0252,24,3,2478.174603,1289.68254,0,257.5396825,28.96825397,4009.920635,1582.936508,411.1111111,46.03174603,325.3968254,52.77777778,543.2539683,8.73015873,0,95.63492063,921.8253968,102.3809524,2083.730159,28808.33333,5834.52381,1200.396825,10481.34921,432.9365079,Day 3,290000,1.016119348,344.1666667,5264821.742,Day 3,110.1449275,0,0,0,0
36.7,0.0367,25,3,3673.569482,46.32152589,0,324.7956403,19.89100817,1568.93733,1407.629428,509.5367847,57.22070845,329.7002725,32.15258856,343.5967302,16.34877384,34.60490463,43.59673025,206.5395095,524.7956403,919.346049,10644.95913,2184.741144,467.5749319,4484.196185,473.8419619,Day 3,230000,0.860953447,343.3333333,81156363.55,Day 3,116.9934641,0,0,0,0
31.1,0.0311,26,3,4081.028939,728.2958199,0,788.1028939,217.0418006,2127.33119,1825.723473,1644.051447,74.91961415,579.0996785,106.4308682,1327.009646,19.2926045,33.76205788,90.35369775,436.977492,1645.337621,1072.66881,12747.26688,5296.463023,919.6141479,5960.128617,964.3086817,Day 3,110000,1.155668447,240.8333333,196504343.9,Day 3,119.6969697,0,0,0,0
30.6,0.0306,27,3,1816.993464,111.1111111,0,223.5294118,0,411.1111111,1760.130719,338.5620915,56.20915033,211.4379085,24.18300654,456.2091503,16.66666667,26.79738562,52.2875817,250.6535948,0,450.3267974,2844.771242,1427.777778,236.6013072,5151.633987,410.130719,Day 3,40000,1.308164211,417.9166667,273555.3643,Day 3,109.4594595,0,0,0,0
28.5,0.0285,28,3,3485.964912,59.64912281,0,359.6491228,0,2605.964912,1709.824561,599.6491228,57.19298246,315.0877193,25.96491228,345.9649123,17.89473684,20.70175439,27.36842105,185.2631579,43.85964912,774.3859649,9110.526316,1867.719298,552.6315789,8810.526316,382.8070175,Day 3,820000,1.147982414,206.6666667,1413514.508,Day 3,114.6496815,0,0,0,0
38,0.038,29,3,3172.105263,1012.368421,0,207.1052632,0,3690.526316,1378.684211,534.2105263,67.63157895,239.7368421,42.63157895,138.1578947,20.78947368,24.73684211,42.10526316,696.5789474,0,2349.736842,29881.05263,4628.421053,1216.315789,7534.210526,372.8947368,Day 3,430000,1.016997473,732.9166667,97994735.38,Day 3,110.4166667,0,0,0,0
43.5,0.0435,30,3,3434.482759,59.08045977,0,220.2298851,0,1123.678161,1052.643678,317.0114943,41.83908046,215.4022989,17.01149425,134.2528736,13.79310345,8.045977011,36.7816092,154.7126437,0,641.1494253,6227.356322,940.4597701,219.3103448,3710.574713,307.1264368,Day 3,260000,1.1110075,178.3333333,321539.5646,Day 3,120.2797203,0,0,0,0
42.2,0.0422,31,4,7813.033175,288.8625592,0,667.0616114,17.2985782,2656.161137,1172.274882,909.478673,54.26540284,365.6398104,51.8957346,583.1753555,14.21800948,24.88151659,47.39336493,311.8483412,1317.772512,1032.938389,12140.52133,3360.189573,824.6445498,14212.08531,636.9668246,Day 4,70000,1.144907604,166.25,4121979.696,Day 4,136.6666667,140.8333333,0,0,0
37.9,0.0379,32,4,6560.686016,210.2902375,0,646.701847,0,983.6411609,1555.672823,1530.870712,62.79683377,337.4670185,61.47757256,774.6701847,20.84432718,39.31398417,63.5883905,212.4010554,1279.94723,627.4406332,4576.253298,1176.51715,158.3113456,12084.43272,709.2348285,Day 4,50000,1.422493438,76.25,2.426123397,Day 4,139.1304348,137.6811594,0,0,0
33.4,0.0334,33,4,7291.916168,149.4011976,0,214.9700599,0,2896.706587,1612.57485,310.1796407,45.80838323,225.748503,22.15568862,183.8323353,17.96407186,24.5508982,35.62874251,249.1017964,0,1088.922156,6698.203593,1857.185629,461.3772455,18702.09581,424.251497,Day 4,140000,1.20415264,189.5833333,453276318.5,Day 4,133.3333333,135.7723577,0,0,0
28.1,0.0281,34,4,4650.533808,177.5800712,0,218.5053381,0,2008.896797,1655.871886,368.683274,101.4234875,282.5622776,37.01067616,165.1245552,18.14946619,12.45551601,85.76512456,424.5551601,0,1526.33452,14513.16726,2179.715302,449.4661922,5443.772242,329.5373665,Day 4,510000,0.832948596,599.1666667,940677604.4,Day 4,139.3617021,139.3617021,0,0,0
26.9,0.0269,35,4,4784.758364,602.6022305,0,273.605948,0,2390.334572,1620.074349,754.6468401,105.9479554,456.8773234,81.41263941,303.3457249,15.24163569,39.03345725,59.4795539,553.5315985,0,3178.438662,18680.66914,2558.364312,572.8624535,3182.527881,466.5427509,Day 4,90000,0.864531509,486.6666667,2541519617,Day 4,150,142.8571429,0,0,0
43.4,0.0434,36,4,4323.963134,114.9769585,0,212.9032258,0,1761.981567,1207.142857,317.7419355,37.55760369,147.4654378,23.96313364,100,9.447004608,31.79723502,46.08294931,137.3271889,0,750.921659,3996.313364,2438.479263,432.4884793,12664.51613,289.1705069,Day 4,70000,0.810908137,392.5,29868742.38,Day 4,113.5338346,116.5413534,0,0,0
29.1,0.0291,37,4,3955.670103,171.4776632,0,198.9690722,0,2915.80756,1548.453608,473.8831615,86.59793814,321.9931271,30.58419244,117.1821306,20.6185567,28.17869416,54.98281787,317.5257732,0,1093.814433,7395.189003,1274.226804,349.1408935,4827.147766,318.2130584,Day 4,160000,0.735459584,390.8333333,2051129560,Day 4,111.965812,113.6752137,0,0,0
52.7,0.0527,38,4,3002.087287,178.5578748,0,139.658444,0,2361.669829,938.7096774,196.5844402,27.32447818,120.113852,19.73434535,99.62049336,18.40607211,11.19544592,37.95066414,171.9165085,0,1526.755218,12697.53321,2945.540797,817.0777989,19566.22391,238.1404175,Day 4,430000,1.308144213,259.5833333,463738435.5,Day 4,114.2011834,117.7514793,0,0,0
37.4,0.0374,39,4,3313.903743,45.45454545,0,340.9090909,0,543.315508,1145.721925,542.7807487,58.55614973,267.6470588,35.56149733,278.342246,16.04278075,28.07486631,53.47593583,141.1764706,0,543.315508,3454.545455,1017.379679,157.486631,7836.898396,464.973262,Day 4,70000,1.209205493,227.9166667,10598.73003,Day 4,108.7248322,109.3959732,0,0,0
27.8,0.0278,40,4,5137.410072,4798.920863,0,320.1438849,438.4892086,8006.834532,2930.215827,496.0431655,78.77697842,859.352518,108.9928058,166.9064748,48.20143885,45.68345324,122.3021583,1229.136691,0,9622.302158,82976.97842,9534.532374,4037.05036,26255.7554,683.0935252,Day 4,1010000,0.974458793,364.1666667,517391318.6,Day 4,111.9205298,110.5960265,0,0,0
35,0.035,41,4,8056.571429,500.5714286,366.8571429,273.7142857,0,3293.714286,1934,296,62.57142857,249.1428571,29.71428571,150,22.57142857,26.85714286,57.14285714,320.5714286,127.1428571,842.2857143,7844.857143,2330,453.7142857,15698,358.5714286,Day 4,130000,1.349329886,184.1666667,26750144.92,Day 4,108.8607595,108.2278481,0,0,0
