Mouse_ID,Sex,Eotaxin,G-CSF,GM-CSF,IFNg,IL-10,IL-12p40,IL-12p70,IL-13,IL-17a,IL-1b,IL-2,IL-3,IL-4,IL-5,IL-6,IL-9,IL-1a,KC,MCP-1,MIP-1b,MIP-1a,RANTES,TNF-a,Day.x,Severity,NK Cells,T-Cells,CD4 T-Cells,Effector CD4 T-Cells,Tregs,Th-1,Th-17,CD8 T-Cells,Effector CD8 T-Cells,CD11b CCR2,CCR2 Ly6cHi,CCR2 Ly6cLo,Neutrophils,Interstitial Macrophages,Alveolar Macrophages,DCs,Day_0_BW
11,Male,27384.50704,170.7746479,377.8169014,533.4507042,232.3943662,953.5211268,1761.619718,3230.28169,309.1549296,64.7887324,425.3521127,132.0422535,34.5070423,179.5774648,124.2957746,678.8732394,461.971831,960.915493,5303.521127,2678.169014,315.8450704,8557.746479,935.5633803,0,severe,3.432714976,27.59269402,9.44324054,0.002976687,0.41733146,0.117281452,0.941823637,10.1635987,0,9.294873102,5.828152074,3.345632453,10.16491693,10.16450922,0.321272042,0.876567119,9.58
12,Male,16983.46457,190.9448819,251.9685039,200,112.2047244,944.488189,1105.11811,1260.629921,232.6771654,62.99212598,86.6141732,84.6456693,23.2283465,32.2834646,62.5984252,264.5669291,467.7165354,335.4330709,6129.527559,627.9527559,197.6377953,6920.472441,458.2677165,0,mild,1.627803311,34.24996541,11.2731912,0.001537114,0.501099036,0.142951566,3.629125229,20.08853774,0,6.137695681,3.745503635,2.32930582,4.36681955,5.905435885,0.217167101,0.035216287,10.66
13,Male,20791.17647,237.745098,213.7254902,203.9215686,139.7058824,1427.45098,1066.666667,1148.039216,253.9215686,78.43137255,59.80392157,93.1372549,44.1176471,39.70588235,40.1960784,240.6862745,548.5294118,773.0392157,4442.156863,781.8627451,372.0588235,13324.01961,463.7254902,0,severe,2.753345735,20.18367679,5.471473207,0,0.143582149,0.130939695,0.632122668,9.018584406,9.03E-04,15.32958428,8.265233485,6.842255125,11.56748292,13.64179954,0.219960137,1.217255125,12.36
14,Male,11953.77049,159.0163934,319.6721311,143.9344262,93.44262295,580.6557377,1002.95082,910.8196721,207.5409836,52.45901639,40,79.0163934,12.13114754,26.55737705,46.2295082,190.8196721,376.0655738,473.442623,3309.836066,522.9508197,239.0163934,6265.245902,418.0327869,0,mild,3.898536088,31.81876121,5.725239491,9.81E-04,0.220616353,0.142174983,0.654985439,20.30650965,0,4.00968744,0.820782356,3.119709082,12.38093135,3.50028709,0.38941154,0.286353665,12.43
15,Male,8332.786885,159.0163934,142.9508197,121.6393443,93.44262295,1170.819672,1105.901639,910.8196721,183.6065574,52.45901639,40,62.295082,12.13114754,26.55737705,60.3278689,160.9836066,299.0163934,550.8196721,4713.442623,522.9508197,156.3934426,4755.409836,345.5737705,0,severe,6.000929641,29.33967007,8.100211541,0,0.2580229,0.086323838,0.564425093,15.7412941,0,8.077352495,5.601042054,2.404740775,9.865162749,6.147834302,0.521742865,0.678480433,11.7
16,Male,26366.66667,221.4611872,721.4611872,352.5114155,133.7899543,1047.945205,1626.484018,1650.684932,289.0410959,73.05936073,55.70776256,86.7579909,48.4018265,118.2648402,191.7808219,410.9589041,447.9452055,881.7351598,10142.46575,1192.237443,210.0456621,16734.7032,735.6164384,3,severe,0.473818035,29.85898049,7.281785684,0.013135549,0.229872116,0.685863334,1.179384693,10.24479035,0.001876507,9.225143109,7.173375722,2.003987761,10.65577536,8.208907225,0.25543723,11.63525769,11
17,Male,6737.614679,222.4770642,200,40.36697248,130.733945,933.0275229,118.3486239,734.4036697,23.85321101,73.39449541,55.96330275,63.7614679,16.97247706,37.1559633,311.4678899,185.3211009,118.8073394,878.8990826,19303.66972,731.6513761,115.1376147,4049.541284,192.2018349,3,mild,1.014985969,27.89287586,5.324364307,0.001326779,0.141965358,0.26336564,0.686608156,8.455562853,0.003316948,12.91713755,9.298156736,3.544288999,14.48761415,6.283205383,0.474130652,16.64913033,11.7
18,Male,28481.96721,275.0819672,411.147541,479.3442623,474.4262295,8810.163934,2173.114754,1703.606557,259.6721311,90.1639344,122.295082,87.8688525,63.6065574,242.295082,534.7540984,414.7540984,520.3278689,3883.606557,67624.91803,12054.42623,3387.540984,42338.03279,910.1639344,3,severe,1.550412688,31.46841452,5.033716351,0.03992016,0.190429951,0.227113341,0.338242434,8.339537142,0.026973081,10.72002445,0.021194586,10.68157845,8.125412802,18.90064175,0.201102118,7.704971363,13.1
19,Male,37627.72277,254.4554455,703.960396,543.0693069,326.7326733,4398.019802,3002.970297,2381.188119,461.3861386,79.20792079,246.5346535,185.6435644,67.8217822,156.9306931,457.9207921,671.2871287,778.7128713,2306.930693,38265.34653,7605.445545,1274.257426,43607.92079,1551.980198,3,severe,2.032812602,27.11288319,6.797829924,0.016340937,0.246748153,0.653637493,0.965749395,6.265115367,0.006536375,13.78881988,8.717184265,4.955693582,9.363146998,17.68447205,0.579710145,17.96770186,13.1
20,Male,35275.22124,143.0678466,466.0766962,517.9941003,299.1150442,1882.300885,2359.882006,2027.433628,211.5044248,54.2772861,423.5988201,102.6548673,40.4129794,116.519174,308.259587,798.820059,548.9675516,2417.40413,9332.448378,3461.356932,259.2920354,30623.89381,1140.117994,3,mild,0.9520388,18.94582874,6.362322188,0,0.107777977,0.451641048,0.42084734,5.624128581,0,7.96033152,5.351899801,2.555160495,14.39499994,8.785416073,0.167866302,4.868122747,13
